epoch,train_loss,train_acc,val_loss,val_acc
1,0.5046162583806152,0.8277571251548946,0.10604906242881797,0.9602977667493796
2,0.2098782463048272,0.9330855018587361,0.23783810930713425,0.9255583126550868
3,0.16356848574700528,0.9386617100371747,0.030682339660765116,0.9801488833746899
4,0.14104539011114148,0.9566294919454771,0.04714890582453794,0.9776674937965261
5,0.10955269911799928,0.9659231722428748,0.030611348918705258,0.9900744416873449
6,0.10784986415772625,0.9671623296158612,0.09977828880044076,0.9602977667493796
7,0.06308778333494851,0.9795539033457249,0.16089189756674077,0.9478908188585607
8,0.07629505771804568,0.9739776951672863,0.07033362160861749,0.9801488833746899
9,0.08616036362183487,0.976456009913259,0.12684544182990368,0.967741935483871
10,0.06384321769138106,0.9801734820322181,0.01563432781051092,0.9950372208436724
11,0.09139944566222426,0.976456009913259,0.16264751887049103,0.9602977667493796
12,0.10123607327179343,0.9745972738537795,0.01014965128893223,0.9975186104218362
13,0.048151723557153095,0.983271375464684,0.13335598522307449,0.9727047146401985
14,0.040862815748908106,0.9882280049566295,0.0298983234654474,0.9900744416873449
15,0.04539070424964743,0.9882280049566295,0.09970224271491251,0.9801488833746899
16,0.05854878069291744,0.983271375464684,0.00683990658452779,0.9950372208436724
17,0.06424867353476524,0.9857496902106567,0.2642110121752203,0.9602977667493796
